第0世代平均適応度 0.000000
 13 : J P D M , C Z Z Z , R E Q N , X A Y H      5
 14 : R Y H W , D Z Z Z , C R Q N , U E T Q      5
 15 : U F H S , C Z Z Z , D E Q N , V A T S      5
 16 : R Y H S , C Z Z Z , C E U N , V A T F      5
 17 : K Y H M , C Z Z Z , C X Q N , S A T F      5
 18 : B Y C Z , C Z Z Z , D E U N , R E T H      5
 19 : K Y H S , C Z Z Z , P E U N , V F H F      5
 20 : U Y D N , C Z Z Z , R O U N , R A T Q      5
 21 : R Y H Z , C Z A A , N R Q N , R D T F      1
 22 : R P H Z , C Z Z Z , D R U U , U E P F      5
 23 : U P H S , C N S Z , C O R U , V D H F      0
 24 : R Y H S , C Z Z Z , C O U N , V E T F      5
 25 : R Y H M , D Z Z Z , C E Q U , U E T Q      5
 26 : R Y H M , D Z Z Z , C E Q N , U E T T      5
 27 : B P H S , C Z A Z , R O Q U , V U Y Q      1
 28 : J Y C Z , C Z Z Z , D E U U , R E T F      5
 29 : B Y H E , C Z A A , C E Q U , H A P Q      1
第9世代平均適応度 4.733333
  0 : R Y H S , D Z Z Z , C E U N , V D T T      5
  1 : R P H Z , C Z Z Z , D R U N , V E P S      5
  2 : U F H S , C Z Z Z , D O Q U , V A T Q      5
  3 : K Y H S , C Z Z Z , C X Q N , S E T F      5
  4 : R Y H M , C Z Z Z , C O U N , V A T A      5
  5 : R P H Z , C Z Z Z , R R U N , R E T F      5
  6 : K Y H S , C Z Z Z , C E Q N , V A T F      5
  7 : K Y H M , C Z Z Z , P X U N , S F H F      5
  8 : U Y B Z , C Z Z Z , D O U N , R F T F      5
  9 : R F H Z , C Z Z Z , D R U U , U E P F      5
 10 : B P H S , C Z A Z , R E Q N , V U Y S      1
 11 : R Y H M , D Z Z Z , R E Q N , R E T Q      5
 12 : R Y C M , C Z Z Z , C E L U , U E T F      5
 13 : K P H Z , C Z Z Z , C E Q N , W D Y H      5
 14 : R Y H S , C Z Z Z , C O Q N , U E T F      5
 15 : R Y H M , C Z Z Z , C X Q N , V E T F      5
 16 : U Y D M , D Z Z Z , R E U N , U E T Q      5
 17 : R Y H M , C Z Z Z , C E Q N , W E T F      5
 18 : K Y H M , D Z Z Z , C X Q N , S A T Q      5
 19 : U Y D N , C Z Z Z , C O U N , W A T Q      5
 20 : R P X Z , D Z Z Z , C E T N , W D T F      5
 21 : R P H Z , C Z Z Z , D E U N , V A T S      5
 22 : K Y H M , C Z Z Z , C E Q N , V A T F      5
 23 : B Y H Z , C Z Z Z , D E U N , V A T H      5
 24 : R Y H Z , C Z A Z , D R U N , R D T F      1
 25 : J Y H Z , D Z Z Z , D E U U , R E T Q      5
 26 : R Y H S , C Z Z Z , C O U N , V E T F      5
 27 : K P C Z , C Z Z Z , C E U U , Q M Y H      5
 28 : B Y H Z , C Z Z Z , D E U N , R A T H      5
 29 : R Y H Z , C Z Z Z , C X U N , S A T F      5
第10世代平均適応度 5.000000
  0 : U P H Z , D Z Z Z , C O Q N , W A T Q      5
  1 : R Y C M , D Z Z Z , C E U U , U E T F      5
